input_url,status,filepath,title,uploader,id,duration,webpage_url,error
https://www.tiktok.com/@thehappydaycoshirt/video/7450164811435871519,ok,Downloaded_Audio/thehappydaycoshirt_7450164811435871519.mp3,It’s time to wear it 📚📖 #fourthwing #bookish #booktok #bookworm #fant...,thehappydaycoshirt,7450164811435871519,15,https://www.tiktok.com/@thehappydaycoshirt/video/7450164811435871519,
https://www.tiktok.com/@thehappydaycoshirt/video/7449932798967696670,ok,Downloaded_Audio/thehappydaycoshirt_7449932798967696670.mp3,Calling SJM fan 📚📖 #bookish #velaris #acotar #acotarseries #sjm #book...,thehappydaycoshirt,7449932798967696670,20,https://www.tiktok.com/@thehappydaycoshirt/video/7449932798967696670,
https://www.tiktok.com/@thehappydaycoshirt/video/7449770844978547998,ok,Downloaded_Audio/thehappydaycoshirt_7449770844978547998.mp3,Calling Fourth Wing fan📖📚 #fourthwing #bookish #booktok #bookworm #fa...,thehappydaycoshirt,7449770844978547998,19,https://www.tiktok.com/@thehappydaycoshirt/video/7449770844978547998,
https://www.tiktok.com/@thehappydaycoshirt/video/7449407894690270494,ok,Downloaded_Audio/thehappydaycoshirt_7449407894690270494.mp3,POV: I’ve found the cutest gift for my boyfriend 🫶🏻 #boyfriend #valen...,thehappydaycoshirt,7449407894690270494,12,https://www.tiktok.com/@thehappydaycoshirt/video/7449407894690270494,
https://www.tiktok.com/@thehappydaycoshirt/video/7449202435924479274,ok,Downloaded_Audio/thehappydaycoshirt_7449202435924479274.mp3,I need a diet coke 💕#dietcoke #girlfriend #valentine #valentinesday #...,thehappydaycoshirt,7449202435924479274,18,https://www.tiktok.com/@thehappydaycoshirt/video/7449202435924479274,
https://www.tiktok.com/@thehappydaycoshirt/video/7448683142296227102,ok,Downloaded_Audio/thehappydaycoshirt_7448683142296227102.mp3,Velaris fan gift 📖📚 #velaris #acotar #acotarseries #bookish #sjm #boo...,thehappydaycoshirt,7448683142296227102,15,https://www.tiktok.com/@thehappydaycoshirt/video/7448683142296227102,
https://www.tiktok.com/@thehappydaycoshirt/video/7448278597099375903,ok,Downloaded_Audio/thehappydaycoshirt_7448278597099375903.mp3,Last deal this Christmas 🎄📖📚❄️ #fourthwing #bookish #booktok #fantasy...,thehappydaycoshirt,7448278597099375903,13,https://www.tiktok.com/@thehappydaycoshirt/video/7448278597099375903,
https://www.tiktok.com/@thehappydaycoshirt/video/7447924890117704991,ok,Downloaded_Audio/thehappydaycoshirt_7447924890117704991.mp3,God says I am 🎀 #godsaysiam #christian #girly #coquette #bibleverse #...,thehappydaycoshirt,7447924890117704991,19,https://www.tiktok.com/@thehappydaycoshirt/video/7447924890117704991,
https://www.tiktok.com/@thehappydaycoshirt/video/7447721650138762526,ok,Downloaded_Audio/thehappydaycoshirt_7447721650138762526.mp3,Tag your soulmate🫶🏻 #hoodie #couplehoodies #couple #soulmate #boyfrie...,thehappydaycoshirt,7447721650138762526,15,https://www.tiktok.com/@thehappydaycoshirt/video/7447721650138762526,
https://www.tiktok.com/@thehappydaycoshirt/video/7447540946884971806,ok,Downloaded_Audio/thehappydaycoshirt_7447540946884971806.mp3,"Not only Christmas, it’s also bookworm’s season 📖📚 #booktok #bookish ...",thehappydaycoshirt,7447540946884971806,8,https://www.tiktok.com/@thehappydaycoshirt/video/7447540946884971806,
